종목별,현재가,전일비,등락률,거래량,거래대금 (백만),시가총액 (억)
SK텔레콤,"98,200",상승 200,+0.20%,"591,562","57,691","210,924"
한국전력,"32,050","상승 1,200",+3.89%,"902,703","28,744","205,749"
미래에셋증권,"36,250","상승 1,550",+4.47%,"652,517","23,556","202,843"
HMM,"21,350",하락 350,-1.61%,"503,061","10,797","201,381"
메리츠금융지주,"116,200","상승 1,000",+0.87%,"79,545","9,276","194,458"
LG화학,"271,000","상승 5,000",+1.88%,"66,200","17,999","191,305"
두산,"1,183,000","하락 10,000",-0.84%,"22,256","26,269","191,573"
삼성중공업,"21,000",상승 400,+1.94%,"787,358","16,468","184,800"
삼성에스디에스,"235,000","상승 9,000",+3.98%,"85,923","20,092","181,838"
KT&G,"172,100","하락 3,400",-1.94%,"86,412","14,858","178,658"
HD현대,"222,500","하락 5,500",-2.41%,"50,330","11,298","175,760"
LIG디펜스앤에어로스페이스,"792,000","하락 4,000",-0.50%,"38,123","29,805","174,240"
카카오,"38,900","상승 1,500",+4.01%,"1,317,812","51,169","172,320"
LG,"110,700",상승 500,+0.45%,"86,224","9,579","167,370"
S-Oil,"146,300","하락 5,300",-3.50%,"91,947","13,560","164,709"
기업은행,"20,100",하락 200,-0.99%,"391,050","7,874","160,283"
현대로템,"138,700","상승 2,400",+1.76%,"131,050","17,998","151,380"
현대글로비스,"200,500","하락 3,000",-1.47%,"46,824","9,415","150,375"
포스코퓨처엠,"165,600","상승 5,300",+3.31%,"126,108","21,026","147,295"
한화시스템,"75,600",하락 400,-0.53%,"148,967","11,207","142,823"
LG이노텍,"596,000","하락 7,000",-1.16%,"118,410","71,141","141,056"
에이피알,"373,000","하락 10,500",-2.74%,"165,541","61,687","139,644"
한국항공우주,"135,800",상승 100,+0.07%,"89,502","12,129","132,371"
KT,"52,300",하락 300,-0.57%,"95,466","4,996","131,807"
현대건설,"114,900","하락 1,600",-1.37%,"234,496","26,928","127,948"
현대오토에버,"451,500","상승 15,000",+3.44%,"36,130","16,099","123,819"
DB손해보험,"180,500","하락 7,000",-3.73%,"70,565","12,762","118,228"
GS,"116,800","하락 2,900",-2.42%,"197,143","23,527","108,502"
삼양식품,"1,398,000","상승 94,000",+7.21%,"50,429","69,557","105,312"
한국금융지주,"187,500","상승 4,400",+2.40%,"97,420","18,249","104,486"
